year,age,immigration,people
2015,0.00,1.00,4165000.00
2015,0.00,2.00,4165000.00
2015,5.00,1.00,3493000.00
2015,5.00,2.00,3493000.00
2015,10.00,1.00,3712000.00
2015,10.00,2.00,3712000.00
2015,15.00,1.00,4107000.00
2015,15.00,2.00,4107000.00
2015,20.00,1.00,4688000.00
2015,20.00,2.00,4688000.00
2015,25.00,1.00,5240000.00
2015,25.00,2.00,5240000.00
2015,30.00,1.00,5124000.00
2015,30.00,2.00,5124000.00
2015,35.00,1.00,4797000.00
2015,35.00,2.00,4797000.00
2015,40.00,1.00,5210000.00
2015,40.00,2.00,5210000.00
2015,45.00,1.00,6729000.00
2015,45.00,2.00,6729000.00
2015,50.00,1.00,6847000.00
2015,50.00,2.00,6847000.00
2015,55.00,1.00,5828000.00
2015,55.00,2.00,5828000.00
2015,60.00,1.00,5107000.00
2015,60.00,2.00,5107000.00
2015,65.00,1.00,3956000.00
2015,65.00,2.00,3956000.00
2015,70.00,1.00,4333000.00
2015,70.00,2.00,4333000.00
2015,75.00,1.00,3952000.00
2015,75.00,2.00,3952000.00
2015,80.00,1.00,2234000.00
2015,80.00,2.00,2234000.00
2015,85.00,1.00,1284000.00
2015,85.00,2.00,1284000.00
2015,90.00,1.00,540000.00
2015,90.00,2.00,540000.00
2025,0.00,1.00,4148000.00
2025,0.00,2.00,4247000.00
2025,5.00,1.00,3569000.00
2025,5.00,2.00,3630000.00
2025,10.00,1.00,3551000.00
2025,10.00,2.00,3591000.00
2025,15.00,1.00,3608000.00
2025,15.00,2.00,3650000.00
2025,20.00,1.00,3981000.00
2025,20.00,2.00,4071000.00
2025,25.00,1.00,4488000.00
2025,25.00,2.00,4664000.00
2025,30.00,1.00,4987000.00
2025,30.00,2.00,5149000.00
2025,35.00,1.00,5411000.00
2025,35.00,2.00,5531000.00
2025,40.00,1.00,5218000.00
2025,40.00,2.00,5312000.00
2025,45.00,1.00,4832000.00
2025,45.00,2.00,4903000.00
2025,50.00,1.00,5158000.00
2025,50.00,2.00,5210000.00
2025,55.00,1.00,6518000.00
2025,55.00,2.00,6551000.00
2025,60.00,1.00,6466000.00
2025,60.00,2.00,6487000.00
2025,65.00,1.00,5319000.00
2025,65.00,2.00,5328000.00
2025,70.00,1.00,4452000.00
2025,70.00,2.00,4457000.00
2025,75.00,1.00,3184000.00
2025,75.00,2.00,3185000.00
2025,80.00,1.00,2907000.00
2025,80.00,2.00,2907000.00
2025,85.00,1.00,1940000.00
2025,85.00,2.00,1942000.00
2025,90.00,1.00,774000.00
2025,90.00,2.00,774000.00
2035,0.00,1.00,3586000.00
2035,0.00,2.00,3778000.00
2035,5.00,1.00,3279000.00
2035,5.00,2.00,3438000.00
2035,10.00,1.00,3521000.00
2035,10.00,2.00,3650000.00
2035,15.00,1.00,3656000.00
2035,15.00,2.00,3764000.00
2035,20.00,1.00,3789000.00
2035,20.00,2.00,3915000.00
2035,25.00,1.00,3898000.00
2035,25.00,2.00,4090000.00
2035,30.00,1.00,4145000.00
2035,30.00,2.00,4394000.00
2035,35.00,1.00,4557000.00
2035,35.00,2.00,4856000.00
2035,40.00,1.00,5010000.00
2035,40.00,2.00,5267000.00
2035,45.00,1.00,5385000.00
2035,45.00,2.00,5580000.00
2035,50.00,1.00,5137000.00
2035,50.00,2.00,5284000.00
2035,55.00,1.00,4683000.00
2035,55.00,2.00,4789000.00
2035,60.00,1.00,4891000.00
2035,60.00,2.00,4961000.00
2035,65.00,1.00,6009000.00
2035,65.00,2.00,6053000.00
2035,70.00,1.00,5737000.00
2035,70.00,2.00,5763000.00
2035,75.00,1.00,4386000.00
2035,75.00,2.00,4398000.00
2035,80.00,1.00,3150000.00
2035,80.00,2.00,3157000.00
2035,85.00,1.00,1699000.00
2035,85.00,2.00,1701000.00
2035,90.00,1.00,1179000.00
2035,90.00,2.00,1179000.00
2045,0.00,1.00,3315000.00
2045,0.00,2.00,3538000.00
2045,5.00,1.00,2860000.00
2045,5.00,2.00,3063000.00
2045,10.00,1.00,3054000.00
2045,10.00,2.00,3265000.00
2045,15.00,1.00,3368000.00
2045,15.00,2.00,3571000.00
2045,20.00,1.00,3760000.00
2045,20.00,2.00,3976000.00
2045,25.00,1.00,3947000.00
2045,25.00,2.00,4205000.00
2045,30.00,1.00,3956000.00
2045,30.00,2.00,4240000.00
2045,35.00,1.00,3974000.00
2045,35.00,2.00,4286000.00
2045,40.00,1.00,4177000.00
2045,40.00,2.00,4520000.00
2045,45.00,1.00,4548000.00
2045,45.00,2.00,4920000.00
2045,50.00,1.00,4945000.00
2045,50.00,2.00,5253000.00
2045,55.00,1.00,5246000.00
2045,55.00,2.00,5469000.00
2045,60.00,1.00,4910000.00
2045,60.00,2.00,5071000.00
2045,65.00,1.00,4362000.00
2045,65.00,2.00,4472000.00
2045,70.00,1.00,4395000.00
2045,70.00,2.00,4464000.00
2045,75.00,1.00,5065000.00
2045,75.00,2.00,5107000.00
2045,80.00,1.00,4226000.00
2045,80.00,2.00,4248000.00
2045,85.00,1.00,2480000.00
2045,85.00,2.00,2488000.00
2045,90.00,1.00,1437000.00
2045,90.00,2.00,1439000.00
2055,0.00,1.00,3239000.00
2055,0.00,2.00,3527000.00
2055,5.00,1.00,2769000.00
2055,5.00,2.00,3008000.00
2055,10.00,1.00,2812000.00
2055,10.00,2.00,3049000.00
2055,15.00,1.00,2948000.00
2055,15.00,2.00,3199000.00
2055,20.00,1.00,3295000.00
2055,20.00,2.00,3593000.00
2055,25.00,1.00,3660000.00
2055,25.00,2.00,4014000.00
2055,30.00,1.00,3930000.00
2055,30.00,2.00,4303000.00
2055,35.00,1.00,4026000.00
2055,35.00,2.00,4404000.00
2055,40.00,1.00,3993000.00
2055,40.00,2.00,4372000.00
2055,45.00,1.00,3976000.00
2055,45.00,2.00,4362000.00
2055,50.00,1.00,4136000.00
2055,50.00,2.00,4530000.00
2055,55.00,1.00,4449000.00
2055,55.00,2.00,4847000.00
2055,60.00,1.00,4755000.00
2055,60.00,2.00,5071000.00
2055,65.00,1.00,4932000.00
2055,65.00,2.00,5157000.00
2055,70.00,1.00,4475000.00
2055,70.00,2.00,4631000.00
2055,75.00,1.00,3755000.00
2055,75.00,2.00,3854000.00
2055,80.00,1.00,3332000.00
2055,80.00,2.00,3388000.00
2055,85.00,1.00,3018000.00
