year,age,immigration,people
2025,0,1,-17000
2025,0,2,82000
2025,5,1,76000
2025,5,2,137000
2025,10,1,-161000
2025,10,2,-121000
2025,15,1,-499000
2025,15,2,-457000
2025,20,1,-707000
2025,20,2,-617000
2025,25,1,-752000
2025,25,2,-576000
2025,30,1,-137000
2025,30,2,25000
2025,35,1,614000
2025,35,2,734000
2025,40,1,8000
2025,40,2,102000
2025,45,1,-1897000
2025,45,2,-1826000
2025,50,1,-1689000
2025,50,2,-1637000
2025,55,1,690000
2025,55,2,723000
2025,60,1,1359000
2025,60,2,1380000
2025,65,1,1363000
2025,65,2,1372000
2025,70,1,119000
2025,70,2,124000
2025,75,1,-768000
2025,75,2,-767000
2025,80,1,673000
2025,80,2,673000
2025,85,1,656000
2025,85,2,658000
2025,90,1,234000
2025,90,2,234000
2035,0,1,-562000
2035,0,2,-469000
2035,5,1,-290000
2035,5,2,-192000
2035,10,1,-30000
2035,10,2,59000
2035,15,1,48000
2035,15,2,114000
2035,20,1,-192000
2035,20,2,-156000
2035,25,1,-590000
2035,25,2,-574000
2035,30,1,-842000
2035,30,2,-755000
2035,35,1,-854000
2035,35,2,-675000
2035,40,1,-208000
2035,40,2,-45000
2035,45,1,553000
2035,45,2,677000
2035,50,1,-21000
2035,50,2,74000
2035,55,1,-1835000
2035,55,2,-1762000
2035,60,1,-1575000
2035,60,2,-1526000
2035,65,1,690000
2035,65,2,725000
2035,70,1,1285000
2035,70,2,1306000
2035,75,1,1202000
2035,75,2,1213000
2035,80,1,243000
2035,80,2,250000
2035,85,1,-241000
2035,85,2,-241000
2035,90,1,405000
2035,90,2,405000
2045,0,1,-271000
2045,0,2,-240000
2045,5,1,-419000
2045,5,2,-375000
2045,10,1,-467000
2045,10,2,-385000
2045,15,1,-288000
2045,15,2,-193000
2045,20,1,-29000
2045,20,2,61000
2045,25,1,49000
2045,25,2,115000
2045,30,1,-189000
2045,30,2,-154000
2045,35,1,-583000
2045,35,2,-570000
2045,40,1,-833000
2045,40,2,-747000
2045,45,1,-837000
2045,45,2,-660000
2045,50,1,-192000
2045,50,2,-31000
2045,55,1,563000
2045,55,2,680000
2045,60,1,19000
2045,60,2,110000
2045,65,1,-1647000
2045,65,2,-1581000
2045,70,1,-1342000
2045,70,2,-1299000
2045,75,1,679000
2045,75,2,709000
2045,80,1,1076000
2045,80,2,1091000
2045,85,1,781000
2045,85,2,787000
2045,90,1,258000
2045,90,2,260000
2055,0,1,-76000
2055,0,2,-11000
2055,5,1,-91000
2055,5,2,-55000
2055,10,1,-242000
2055,10,2,-216000
2055,15,1,-420000
2055,15,2,-372000
2055,20,1,-465000
2055,20,2,-383000
2055,25,1,-287000
2055,25,2,-191000
2055,30,1,-26000
2055,30,2,63000
2055,35,1,52000
2055,35,2,118000
2055,40,1,-184000
2055,40,2,-148000
2055,45,1,-572000
2055,45,2,-558000
2055,50,1,-809000
2055,50,2,-723000
2055,55,1,-797000
2055,55,2,-622000
2055,60,1,-155000
2055,60,2,0
2055,65,1,570000
2055,65,2,685000
2055,70,1,80000
2055,70,2,167000
2055,75,1,-1310000
2055,75,2,-1253000
2055,80,1,-894000
2055,80,2,-860000
2055,85,1,538000
2055,85,2,558000
2055,90,1,762000
2055,90,2,769000
